LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2035102318	958.909085917591
Oahu	2035102320	878.840789955952
Oahu	2035102322	752.778393522337
Oahu	2035112300	629.199591727072
Oahu	2035112302	600.078884473899
Oahu	2035112304	614.564215535326
Oahu	2035112306	674.01332051607
Oahu	2035112308	784.416843903136
Oahu	2035112310	835.023280874835
Oahu	2035112312	830.588308296852
Oahu	2035112314	822.175494807694
Oahu	2035112316	843.859119186025
Oahu	2035112318	914.24552719241
Oahu	2035112320	841.477845082005
Oahu	2035112322	727.116969877331
Oahu	2035122300	632.440533226368
Oahu	2035122302	594.224750655
Oahu	2035122304	635.701963819229
Oahu	2035122306	769.897405996932
Oahu	2035122308	856.747800151299
Oahu	2035122310	896.348720407803
Oahu	2035122312	897.05834267276
Oahu	2035122314	891.511212101353
Oahu	2035122316	879.045514313612
Oahu	2035122318	924.31633312492
Oahu	2035122320	861.558072955326
Oahu	2035122322	755.998887572566
Oahu	2040012300	647.394854086761
Oahu	2040012302	617.640321925818
Oahu	2040012304	666.299822920357
Oahu	2040012306	834.038889589393
Oahu	2040012308	877.634847845993
Oahu	2040012310	900.799228965305
Oahu	2040012312	907.096337433178
Oahu	2040012314	901.971399260339
Oahu	2040012316	897.378055706754
Oahu	2040012318	958.55685955963
Oahu	2040012320	882.050993193161
Oahu	2040012322	744.863850613947
Oahu	2040022300	671.31569684502
Oahu	2040022302	629.198636483013
Oahu	2040022304	638.780608697129
Oahu	2040022306	715.927092335203
Oahu	2040022308	838.38007926333
Oahu	2040022310	888.961473668506
Oahu	2040022312	890.890105602486
Oahu	2040022314	888.007348678176
Oahu	2040022316	897.466654809963
Oahu	2040022318	932.564212044272
Oahu	2040022320	880.381295257995
Oahu	2040022322	783.116783797182
Oahu	2040032300	668.991779804094
Oahu	2040032302	630.016451961035
Oahu	2040032304	637.826525302622
Oahu	2040032306	693.00804338055
Oahu	2040032308	804.209360159395
Oahu	2040032310	838.870785188472
Oahu	2040032312	843.791238294938
Oahu	2040032314	841.351435290848
Oahu	2040032316	850.776674443514
Oahu	2040032318	882.643900055667
Oahu	2040032320	857.073782911386
Oahu	2040032322	753.709784738261
Oahu	2040042300	653.637430430546
Oahu	2040042302	623.73298692314
Oahu	2040042304	664.18717106497
Oahu	2040042306	819.038936628679
Oahu	2040042308	903.313946046802
Oahu	2040042310	943.20933190107
Oahu	2040042312	957.152917338267
Oahu	2040042314	960.090247982488
Oahu	2040042316	952.396019008242
Oahu	2040042318	953.220697797076
Oahu	2040042320	914.899547463953
Oahu	2040042322	767.169527561128
Oahu	2040052300	696.64048182464
Oahu	2040052302	664.861855315696
Oahu	2040052304	712.240163362848
Oahu	2040052306	865.02698748027
Oahu	2040052308	950.992159978525
Oahu	2040052310	985.605791406858
Oahu	2040052312	992.564023887125
Oahu	2040052314	984.638106178196
Oahu	2040052316	954.127070782484
Oahu	2040052318	937.123447022913
Oahu	2040052320	906.530717430627
Oahu	2040052322	796.283484046289
Oahu	2040062300	684.666417015534
Oahu	2040062302	652.621993196963
Oahu	2040062304	694.718630009826
Oahu	2040062306	834.509130369569
Oahu	2040062308	928.00497706563
Oahu	2040062310	975.942083400345
Oahu	2040062312	989.388182793233
Oahu	2040062314	990.594461663212
Oahu	2040062316	974.204209911113
Oahu	2040062318	954.897175851407
Oahu	2040062320	944.129348316456
Oahu	2040062322	805.579193805813
Oahu	2040072300	719.879818617184
Oahu	2040072302	684.339307462654
Oahu	2040072304	721.256473978591
Oahu	2040072306	857.891598389409
Oahu	2040072308	945.110760166741
Oahu	2040072310	993.838436715345
Oahu	2040072312	1003.7270949332
Oahu	2040072314	1000.09461489328
Oahu	2040072316	990.76483815464
Oahu	2040072318	969.570019259241
Oahu	2040072320	947.932204847798
Oahu	2040072322	817.628214288151
Oahu	2040082300	714.564080403773
Oahu	2040082302	672.297067099482
Oahu	2040082304	681.476974087487
Oahu	2040082306	757.819285677516
Oahu	2040082308	886.126385557472
Oahu	2040082310	934.049931653854
Oahu	2040082312	937.764105890341
Oahu	2040082314	934.138530757063
Oahu	2040082316	928.890884906072
Oahu	2040082318	919.036335263163
Oahu	2040082320	899.899636099063
Oahu	2040082322	812.816783834038
Oahu	2040092300	688.987183140327
Oahu	2040092302	661.304372544837
Oahu	2040092304	712.546807770762
Oahu	2040092306	862.137367245148
Oahu	2040092308	942.289315485685
Oahu	2040092310	976.916590343995
Oahu	2040092312	993.041044786467
Oahu	2040092314	993.906570673588
Oahu	2040092316	978.395488238588
Oahu	2040092318	1008.39539416001
Oahu	2040092320	925.231201197849
Oahu	2040092322	783.825535027029
Oahu	2040102300	685.531942902655
Oahu	2040102302	656.397562868349
Oahu	2040102304	695.713643694266
Oahu	2040102306	842.884823713707
Oahu	2040102308	918.116318847778
Oahu	2040102310	954.386046377121
Oahu	2040102312	968.111586509614
Oahu	2040102314	964.792655784249
Oahu	2040102316	951.612270509341
Oahu	2040102318	986.968803338287
Oahu	2040102320	906.994094899991
Oahu	2040102322	781.079046019203
Oahu	2040112300	657.644688836615
Oahu	2040112302	628.558019211408
Oahu	2040112304	643.026419148692
Oahu	2040112306	702.406037269083
Oahu	2040112308	812.680515917553
Oahu	2040112310	863.227801747785
Oahu	2040112312	858.79801297064
Oahu	2040112314	850.395032766546
Oahu	2040112316	872.053312322956
Oahu	2040112318	942.357449443927
Oahu	2040112320	869.67482156212
Oahu	2040112322	755.447616631669
Oahu	2040122300	660.88184217376
Oahu	2040122302	622.710727974568
Oahu	2040122304	664.139460655871
Oahu	2040122306	798.178049001148
Oahu	2040122308	884.926928402482
Oahu	2040122310	924.481561273893
Oahu	2040122312	925.190354099563
Oahu	2040122314	919.649707270636
Oahu	2040122316	907.198579966364
Oahu	2040122318	952.416484153208
Oahu	2040122320	889.731578737429
Oahu	2040122322	784.295775807205
Oahu	2045012300	661.514827145549
Oahu	2045012302	630.779152826429
Oahu	2045012304	681.043178723707
Oahu	2045012306	854.313364786318
Oahu	2045012308	899.346879928043
Oahu	2045012310	923.275095973789
Oahu	2045012312	929.779848727884
Oahu	2045012314	924.485918050905
Oahu	2045012316	919.741111083846
Oahu	2045012318	982.937258154292
Oahu	2045012320	903.908645658463
Oahu	2045012322	762.197819479851
Oahu	2045022300	686.224448808557
Oahu	2045022302	642.718597546525
Oahu	2045022304	652.616530934115
Oahu	2045022306	732.306884764567
Oahu	2045022308	858.79770321429
Oahu	2045022310	911.046996082861
Oahu	2045022312	913.039223777238
Oahu	2045022314	910.06140925515
Oahu	2045022316	919.832631702166
Oahu	2045022318	956.087514915096
Oahu	2045022320	902.183890193683
Oahu	2045022322	801.712125727766
Oahu	2045032300	683.823901660708
Oahu	2045032302	643.563380117787
Oahu	2045032304	651.630987073831
Oahu	2045032306	708.632090599972
Oahu	2045032308	823.500220197324
Oahu	2045032310	859.304589944018
Oahu	2045032312	864.387292752612
Oahu	2045032314	861.867038354697
Oahu	2045032316	871.603070479457
Oahu	2045032318	904.521103354957
Oahu	2045032320	878.107823233552
Oahu	2045032322	771.335444256563
Oahu	2045042300	667.96324960358
Oahu	2045042302	637.072720679565
Oahu	2045042304	678.860863134753
Oahu	2045042306	838.818795202469
Oahu	2045042308	925.872734706724
Oahu	2045042310	967.0836527551
Oahu	2045042312	981.487021577045
Oahu	2045042314	984.521209362624
Oahu	2045042316	976.573266689219
Oahu	2045042318	977.425138885844
Oahu	2045042320	937.840366058566
Oahu	2045042322	785.239015974143
Oahu	2045052300	712.384307048811
Oahu	2045052302	679.557794791631
Oahu	2045052304	728.49838098709
Oahu	2045052306	886.323281103981
Oahu	2045052308	975.123116046825
Oahu	2045052310	1010.87811622054
Oahu	2045052312	1018.06579325049
Oahu	2045052314	1009.87852201181
Oahu	2045052316	978.361399108
Oahu	2045052318	960.797088592474
Oahu	2045052320	929.195577663136
Oahu	2045052322	815.312991926067
Oahu	2045062300	700.015402901434
Oahu	2045062302	666.914328789295
Oahu	2045062304	710.399083044944
Oahu	2045062306	854.799111542236
Oahu	2045062308	951.377941237719
Oahu	2045062310	1000.89575183999
Oahu	2045062312	1014.7852302417
Oahu	2045062314	1016.0312856085
Oahu	2045062316	999.100572763273
Oahu	2045062318	979.156898041134
Oahu	2045062320	968.034006293129
Oahu	2045062322	824.915223484889
Oahu	2045072300	736.389950397004
Oahu	2045072302	699.6775070599
Oahu	2045072304	737.812000342505
Oahu	2045072306	878.952605804814
Oahu	2045072308	969.047779752584
Oahu	2045072310	1019.3822292618
Oahu	2045072312	1029.59696148454
Oahu	2045072314	1025.84470206828
Oahu	2045072316	1016.2072801872
Oahu	2045072318	994.313571783448
Oahu	2045072320	971.962260288098
Oahu	2045072322	837.361554934712
Oahu	2045082300	730.898928134939
